"perc_utilizacao","id","data"
0,1,"2021-01-01 17:06:49.10038+00"
0,2,"2021-01-01 17:07:05.787124+00"
0,3,"2021-01-01 17:07:22.65651+00"
0,4,"2021-01-01 17:07:39.562471+00"
0,5,"2021-01-01 17:07:56.226198+00"
59,6,"2021-01-01 17:08:13.155876+00"
0,7,"2021-01-01 17:08:30.000157+00"
0,8,"2021-01-01 17:08:46.644366+00"
91,9,"2021-01-01 17:09:03.321792+00"
0,10,"2021-01-01 17:09:20.03942+00"
0,11,"2021-01-01 17:09:36.815377+00"
0,12,"2021-01-01 17:09:54.254583+00"
87,13,"2021-01-01 17:10:10.25513+00"
0,14,"2021-01-01 17:10:26.946051+00"
0,15,"2021-01-01 17:10:44.146255+00"
0,16,"2021-01-01 17:11:00.795625+00"
0,17,"2021-01-01 17:11:17.768746+00"
0,18,"2021-01-01 17:11:34.913912+00"
0,19,"2021-01-01 17:11:52.326872+00"
0,20,"2021-01-01 17:12:08.820114+00"
0,21,"2021-01-01 17:12:25.391127+00"
0,22,"2021-01-01 17:12:42.211678+00"
0,23,"2021-01-01 17:12:59.836098+00"
0,24,"2021-01-01 17:13:15.76456+00"
0,25,"2021-01-01 17:13:32.648664+00"
